TurkerID,number of permissions requested for microphone,number of permissions requested for location,number of permissions requested for camera,number of permissions requested for contacts,number of permissions requested for phone,number of permissions requested for storage,number of permissions requested for calendar,number of permissions requested sensor,number of permissions requested sms,number of permissions granted for microphone,number of permissions granted for location,number of permissions granted for camera,number of permissions granted for contacts,number of permissions granted for phone,number of permissions granted for storage,number of permissions granted for calendar,number of permissions granted sensor,number of permissions granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A1TTFE7OTLIJW8,24,45,36,48,34,71,8,0,19,11,29,15,21,17,42,4,0,10,2,3,3,4,3,4,4,3,4
A2HHKBW8HQWI66,24,37,33,39,28,52,9,1,19,7,16,9,16,10,17,4,1,6,4,4,4,5,5,2,2,2,5
A3LIOY7C4ZDQ50,18,28,21,31,24,48,6,1,13,9,12,9,11,11,19,5,1,8,4,5,4,5,4,3,3,2,5
A1TARNH07A75CG,9,18,9,23,18,33,6,0,13,4,6,1,9,10,12,2,0,7,3,3,5,3,3,3,1,3,3
A3DFJV1RD653DQ,30,53,46,66,52,85,16,4,29,17,26,23,29,24,54,8,2,12,4,3,4,4,4,3,2,2,4
A2YP60DM1HYTH8,21,36,30,40,33,50,10,0,19,9,15,11,13,11,25,6,0,9,4,5,5,0,4,5,5,3,3
A2M6URTK6WO6XJ,19,28,24,36,32,52,7,1,14,8,7,7,13,10,24,4,0,7,3,4,3,4,0,3,4,5,4
AVQGY7FCU80XP,18,38,27,41,32,62,7,0,15,5,13,5,15,11,21,3,0,7,4,4,5,4,5,5,4,5,4
A10299EPNHZ504,20,32,20,31,32,43,10,0,19,6,13,5,9,12,18,3,0,7,2,3,3,2,3,3,2,3,3
A22X2R4KD7YCOC,59,95,81,116,113,220,22,2,46,35,66,60,83,78,148,15,1,32,3,4,5,4,4,3,3,2,5
A1G2U62KJ13ZF0,18,25,24,33,27,40,8,1,16,7,10,7,10,10,23,4,1,8,3,3,3,3,3,3,3,3,3
A28O8I1SYFZO7A,20,29,27,40,31,50,5,0,12,10,14,9,18,12,25,4,0,5,2,5,5,4,5,2,3,3,2
A2P76QVLSGJR45,20,37,28,37,27,43,10,0,17,8,19,11,13,11,21,5,0,8,4,4,4,4,4,4,4,4,4
A2INXY39KBM92F,19,28,25,37,26,41,9,1,12,10,25,18,25,19,29,6,1,8,4,4,5,4,5,5,3,3,5
A1IBVWKNX3OKK7,10,22,16,25,23,33,6,0,10,8,10,8,11,11,21,5,0,8,2,4,4,4,0,4,4,2,4
A1DF95UHU5JH4Q,17,42,25,45,38,54,10,0,19,8,20,10,15,16,22,3,0,9,4,4,5,5,4,4,5,4,5
A1SIUJEL2LS8UO,30,38,39,54,47,65,15,1,28,13,23,16,23,19,38,5,1,16,5,4,2,4,2,5,3,2,5
A21KGSK2BDVWOA,22,39,28,43,40,56,11,1,23,10,22,14,19,16,34,5,1,14,3,5,5,5,0,5,5,5,5
A1Z2PN56VHHKNM,25,41,32,46,43,62,11,1,21,12,20,11,21,19,26,5,0,11,4,4,5,3,5,3,3,2,4
A1E235KE3CSO7H,45,86,62,77,70,123,16,1,29,19,37,29,22,25,66,8,1,13,3,3,3,3,3,3,3,3,3
A1S9EY8YUIGDYV,56,71,60,88,80,181,13,1,33,22,44,34,47,47,127,7,1,19,3,4,4,3,3,2,3,3,3
A2COAUZ1TISD2Q,33,53,40,58,55,74,13,1,24,12,19,13,18,14,28,6,0,11,5,5,5,5,5,1,1,1,1
A2m6tjir21bn2w,22,42,29,46,44,54,10,1,22,8,17,8,18,14,29,4,0,11,4,3,4,2,2,4,1,3,4
AAEZQL4J6CQGM,18,35,20,37,27,48,8,0,19,6,17,7,15,12,28,3,0,9,4,4,4,4,4,4,4,4,4
A1ZM4MGF3PDJ0M,33,57,46,65,67,87,12,2,30,20,40,32,46,39,61,9,1,23,5,5,5,5,5,5,1,5,5
A1XUZFDVKP95VC,29,53,48,58,49,79,15,1,28,17,31,27,24,20,54,8,1,13,3,3,3,3,3,3,3,3,3
A1J6Z70T78B35V,17,26,23,30,27,43,10,0,15,9,17,15,16,15,33,6,0,8,3,5,4,2,4,4,2,4,4
A1KTPYX40PRLVW,27,66,47,72,46,91,16,0,18,8,34,10,15,13,36,4,0,6,1,1,5,4,5,5,1,3,5
A2XSAZ0Y6HPDQA,25,56,47,56,56,82,12,1,26,12,26,19,19,32,49,5,1,15,4,4,2,1,1,4,4,1,1
A12BTFPKFKKD2I,39,85,68,81,69,111,19,1,41,14,46,24,33,25,55,9,1,18,2,3,4,3,2,2,1,2,3
A1PUHCEBSOWETV,24,37,34,48,39,74,9,0,17,12,32,25,39,26,58,5,0,13,3,5,3,0,3,2,3,3,2
A1WOCD9SAYI07V,22,39,36,48,32,60,9,1,19,10,16,13,16,9,33,3,0,6,3,4,2,3,4,2,1,1,3
A3RVHUY67SVXQV,24,34,28,33,34,59,8,0,19,10,16,11,16,18,34,5,0,16,3,3,2,4,4,3,2,3,5
A1YTHGG0S2IJWZ,17,39,26,51,35,63,9,1,19,4,15,5,11,9,20,2,0,8,1,1,1,3,3,3,3,1,1
A2REJHHCX9OHFI,39,93,73,86,76,120,15,1,34,17,46,30,28,29,51,7,0,16,3,4,5,2,3,5,2,1,1
A24D98LB6OALQY,21,30,24,31,33,64,6,1,12,7,19,7,15,18,36,3,0,7,4,4,4,3,3,2,1,3,5
A10VYQMVSHNFCV,19,34,28,42,24,57,8,1,13,12,29,20,37,17,47,6,1,9,3,4,4,4,3,3,4,4,4
A1RVMADIZE3BXK,22,30,25,45,28,64,9,0,17,11,20,14,23,11,41,2,0,6,2,4,2,4,2,2,2,2,2
A2ECXGDFC0NJEL,31,70,45,59,61,89,14,2,28,12,31,17,20,19,46,6,1,14,4,4,4,3,3,4,3,3,3
A1IMXNDHFHG2IE,18,31,21,34,23,47,7,2,19,12,24,11,26,16,32,6,1,14,4,4,4,4,4,4,4,4,4
A1AGPPFSUSJSZN,26,37,31,47,40,57,10,1,25,9,17,15,15,15,35,6,1,14,3,4,5,3,4,3,2,5,4
a3orzpmvivngjs,13,31,24,33,29,45,8,0,15,6,17,11,14,12,30,4,0,9,3,3,4,4,4,3,3,3,4
A1RCP3YTL0TE7W,26,44,32,48,45,65,12,1,23,11,16,12,16,17,33,5,1,11,3,3,3,3,3,3,3,3,3
A285E5FTA8GGID,40,51,45,65,59,95,12,1,35,17,22,19,25,27,57,5,0,18,4,4,4,4,4,4,4,4,4
AZJKB1D4AFMQY,26,58,42,58,52,78,11,2,25,12,29,20,19,22,37,5,1,13,4,5,5,5,4,5,1,5,5
A3TBOHEHKXYV6C,23,42,34,42,39,57,10,0,19,14,32,22,31,23,46,7,0,13,3,3,3,3,4,4,3,3,3
A2DZ90CLYIB2BA,12,20,15,26,16,29,8,0,11,6,8,5,9,6,12,3,0,5,5,5,5,5,5,5,5,5,5
A22EDUBB602EJD,19,39,30,43,24,52,12,0,14,5,18,5,9,9,20,4,0,4,4,3,3,4,4,2,2,3,3
A24U7XTFENX96C,26,65,54,57,52,78,9,0,27,10,34,27,22,19,35,5,0,14,3,3,3,4,3,4,3,3,3
A7BEUXS3FTZTH,20,28,20,37,27,44,10,2,15,9,12,7,12,13,23,3,1,6,2,5,5,5,5,5,5,5,5
A2V98P6N59LY9M,39,69,48,77,62,99,16,1,37,15,22,9,24,27,31,6,1,16,3,3,3,3,3,3,3,3,3
A321YWMP74ULKH,24,40,28,54,50,63,10,1,24,12,19,11,23,20,30,3,0,11,3,4,3,4,4,2,4,3,3
AZX36TLZ8IFSP,26,60,52,63,46,77,10,0,25,8,35,24,21,16,40,3,0,10,3,4,4,4,3,4,3,4,4
A3UPZ88FI1EJC,17,36,30,41,27,53,9,1,15,11,30,24,32,21,45,8,1,10,2,4,3,4,4,2,4,4,4
A2BNOEYZ3VRW2R,14,19,15,21,20,31,7,0,10,9,8,7,8,8,21,4,0,7,3,3,3,3,3,3,3,3,3
A39GADIK8RLMVC,23,41,26,38,35,62,14,2,23,13,22,13,19,18,38,9,2,16,2,1,1,2,2,2,2,1,2
A4W9APAHFWVLO,29,47,35,50,50,68,13,1,29,12,18,13,22,20,30,7,1,14,2,2,4,4,4,5,5,5,5
A1MSLM87Z8CLTK,23,57,35,53,45,91,10,0,20,6,29,15,20,18,39,6,0,10,2,4,2,3,3,4,3,3,4
A2NGMLBFZ3YQP5,43,114,98,112,98,159,18,1,43,14,50,43,40,40,75,8,1,23,4,4,2,4,4,4,2,0,3
A1XFAUNS2LQL9H,22,34,29,37,28,49,9,1,19,15,28,23,28,23,42,8,1,14,4,4,3,5,3,4,3,2,4
A3G5IPGLH1IIZN,35,67,50,77,48,100,8,1,21,13,24,16,25,11,38,3,1,8,5,5,5,5,5,5,3,4,5
A1ICZ6VHY7Y2OY,34,61,48,72,64,93,14,1,35,28,57,44,63,54,88,13,1,31,5,5,5,5,5,5,5,5,5
A3NUYAG56BPYBB,12,22,14,26,19,39,6,0,11,6,12,5,14,13,22,2,0,8,4,3,4,3,4,4,4,3,3
A3MPHGI584PR1U,33,54,40,56,53,79,15,1,31,13,18,15,22,22,40,7,0,17,3,3,3,3,3,3,3,3,3
A1MJFW27HXR76D,26,37,33,49,38,63,11,1,22,20,32,24,37,31,55,8,1,15,3,4,3,4,4,3,2,3,4
A30GPAEVFFIAIW,32,54,45,52,49,78,15,1,28,14,29,24,22,21,52,5,1,16,3,5,5,5,5,3,4,3,5
A2RVEG53L48BAE,15,29,17,27,26,35,8,0,12,0,5,1,7,8,15,3,0,2,4,4,5,5,5,5,5,3,5
A171WYV1TRESW8,15,29,22,33,29,41,8,0,16,5,8,8,10,10,18,5,0,9,5,5,5,5,5,5,5,5,5
A15RSC70TW7ZKW,30,42,44,53,47,78,12,2,27,7,19,11,15,18,35,7,1,14,2,2,3,2,2,2,2,2,2
A34I7PV0UHRMKS,28,58,45,59,48,84,15,0,30,7,16,15,16,16,23,5,0,14,2,4,4,4,2,4,2,2,2
A3C49ON1P4KF40,24,57,40,58,47,82,12,0,23,9,30,16,21,18,34,2,0,10,3,4,5,3,4,4,3,3,4
A2798F0ZHDDZ78,34,99,60,92,93,135,27,3,38,11,65,24,45,43,73,9,1,19,4,3,3,2,3,4,4,2,3
ALM8YFO0272UR,27,48,41,54,40,66,14,1,27,21,44,32,46,37,61,10,1,23,3,3,5,2,4,4,2,3,4
AMYRVTU53MLYO,20,37,34,42,36,57,9,0,19,10,16,16,16,19,37,5,0,9,2,1,2,2,2,4,1,1,4
A5T9IFDZ3W4T6,20,41,28,39,35,54,10,1,19,7,19,10,12,11,22,4,1,9,3,4,2,4,4,5,3,5,4
A2VR9O234UCT9T,24,46,41,50,44,72,11,5,22,8,23,18,17,22,34,6,2,9,3,3,4,4,3,3,2,3,3
A2QQFGD7K7AHK8,15,25,21,30,21,34,9,0,12,5,6,5,11,9,16,4,0,5,5,5,5,3,5,4,3,3,5
A3NYQPXI8I57R1,16,27,19,34,24,46,9,0,17,7,12,7,18,13,29,3,0,12,4,4,4,4,4,4,4,4,4
A2KVYRNL2CK95F,17,26,25,36,38,52,9,0,19,5,8,10,14,24,30,4,0,11,3,4,3,3,3,2,3,3,3
A2TH9DIRISH8FE,35,46,40,49,39,88,8,1,19,15,22,14,17,17,49,3,1,9,1,1,1,1,1,1,1,1,1
AA8MK8AWWWL62,36,87,70,88,76,127,18,2,41,11,39,24,24,26,60,7,1,19,4,4,4,3,4,4,3,4,4
A1PP6DN7HB6Q9P,19,33,27,41,32,57,12,1,17,8,13,6,16,14,29,6,1,10,1,2,5,5,4,1,1,3,5
A27TKWMGFUCDMY,21,38,23,42,31,57,8,0,23,7,16,6,18,15,31,3,0,13,2,2,2,2,2,2,2,2,2
AICK0VN8QOZT2,37,62,52,64,59,92,10,1,29,19,28,24,18,24,54,5,1,14,5,4,3,2,3,4,3,3,3
A33YV3NK3GWR8V,26,46,36,53,42,66,14,1,25,10,24,14,21,17,35,8,1,13,3,4,4,4,4,4,4,4,4
AQDJLDXG1PAF3,20,43,31,43,31,66,11,0,18,8,18,9,14,12,23,4,0,9,4,5,4,4,5,5,3,4,5
A2NCNAIYI022X9,16,29,25,30,29,43,8,0,15,11,21,17,24,18,34,8,0,10,3,3,3,2,2,4,2,2,3
AIX6PAGON01EE,53,79,71,88,77,149,15,2,34,19,37,29,33,27,76,5,1,15,3,5,4,5,2,3,2,2,3
AKP3UXJ0TDPVO,12,24,15,27,24,30,9,0,13,6,13,4,16,11,15,4,0,5,2,2,4,4,4,4,4,4,4
A2LV5432PV1S39,22,55,38,51,45,74,12,1,21,16,45,30,43,31,65,11,1,15,5,5,5,5,5,5,5,5,5
A112LUS6RHBNYB,28,47,34,45,28,77,11,1,15,14,30,15,16,12,41,5,0,9,5,4,4,4,4,5,5,0,2
A2KBDMSS91OUPE,55,112,84,92,95,149,18,2,45,20,52,37,28,30,60,5,0,21,2,4,2,4,2,2,2,2,2
A02V2W10EPTMQ,13,19,14,27,20,28,6,0,10,3,8,5,10,7,15,2,0,4,4,4,4,4,4,4,4,4,4
A12C01LD8TO3Y8,24,36,23,39,36,49,13,0,19,11,19,6,17,17,24,5,0,11,3,3,3,3,3,3,3,3,3
AFDYZFJVIAUJ,26,41,32,44,29,49,9,0,15,10,18,7,12,9,14,3,0,5,3,5,4,5,5,5,4,4,5
A37N5X89RE99B0,26,42,32,48,44,61,13,1,30,9,19,9,18,17,29,6,1,16,3,4,2,4,4,4,4,2,3
A2UTHR7YGLN9DC,29,38,35,46,44,58,12,1,23,9,21,15,14,18,36,5,1,9,3,3,3,3,3,4,3,3,3
AZ2DZLLMYQF1P,21,34,29,37,33,53,8,0,19,10,15,11,10,12,26,2,0,6,2,5,5,4,5,2,2,5,3
A2539PUSDD137T,31,55,42,50,48,87,15,1,23,10,27,12,19,20,45,5,0,10,3,3,4,4,4,3,1,3,3
A3E73BVSABJ7LM,8,22,13,24,18,37,6,0,9,4,4,6,9,7,18,3,0,7,4,5,5,4,4,4,4,4,5
A1HKB73TUJ5Z42,12,26,15,25,20,31,6,1,10,4,12,4,12,10,13,3,0,6,3,4,4,3,4,4,3,4,4
A20WI3VW3CBOWN,31,68,55,60,51,78,12,1,32,15,26,25,21,18,33,6,1,13,2,4,3,4,3,3,3,2,3
A3JXAURWDF54DG,38,56,53,65,59,88,15,3,30,19,33,23,23,24,40,6,1,12,1,1,1,1,1,1,1,1,1
A3P46WP16JCU2V,36,56,50,62,57,88,12,1,33,11,24,14,18,21,41,4,1,15,2,4,3,4,4,4,3,0,2
A1PKCBFB4QY19G,36,89,70,85,84,126,15,2,30,18,50,42,41,37,68,11,0,17,1,3,1,2,3,1,2,1,3
A17CM9QPETQYGH,58,105,74,93,101,161,17,1,34,28,73,50,48,52,111,8,1,20,2,2,2,2,2,2,2,2,2
A2WNVSJ1Y06SS1,31,47,37,50,49,75,11,2,28,9,19,19,19,19,39,5,1,16,4,5,5,3,4,5,2,4,4
A002160837SWJFPIAI7L,22,41,32,47,41,59,12,1,29,11,20,16,20,24,33,7,1,18,4,5,5,5,3,5,2,2,4
A1OK974KXKO6FJ,36,63,41,62,61,98,14,1,30,11,32,15,23,23,50,7,0,15,2,2,1,3,2,3,2,2,4
A1PE5GCMNEFIT4,22,31,23,34,33,47,10,0,21,9,14,8,13,15,23,5,0,12,2,2,2,2,2,2,2,2,2
AI2PQDHMQXG2S,52,103,72,82,78,146,16,1,28,31,84,46,59,47,107,8,1,20,4,5,2,4,4,5,3,4,5
A29AX5O8KL48F8,19,29,24,30,27,40,8,1,18,7,12,11,10,11,22,5,1,10,3,3,4,2,3,4,1,3,4
A1QZ7RWVIXCBH9,30,55,51,53,41,85,11,0,22,10,31,21,18,16,36,4,0,6,3,4,3,4,4,4,2,3,4
A17SE6TSFTEUHM,26,51,41,55,55,71,11,1,28,8,27,13,21,21,37,5,1,14,5,5,5,3,4,5,3,3,3
ASUYD8BPYM85M,20,31,25,38,28,55,10,0,16,6,17,8,16,12,21,4,0,7,4,4,4,4,4,5,3,5,5
A3FH8OSFWOLI7A,24,48,38,55,46,67,17,1,27,12,21,17,20,18,32,8,1,17,2,3,3,1,2,3,1,3,3
AUJU22WBACIBR,29,42,38,58,46,84,12,0,25,13,17,13,18,24,44,5,0,13,0,5,5,0,0,5,0,5,5
A2VPMK37V0JJ5,26,59,38,48,42,76,8,1,10,5,32,4,16,14,23,3,1,4,5,4,5,4,4,5,5,4,5
A17N3LOP5HGSQ8,37,88,72,86,77,129,19,1,31,12,43,23,23,25,63,6,0,15,3,4,3,4,4,5,2,4,3
A36YZCJV91T1EX,40,58,56,66,63,91,14,2,28,27,44,43,49,43,73,12,1,21,3,3,4,3,4,4,4,4,4
A2BTDUJFLSBN8E,9,21,13,31,15,42,6,0,13,7,11,5,13,7,24,2,0,5,2,2,2,2,2,3,2,3,3
A1MM8TSLCHVMNK,32,70,59,74,52,104,13,0,22,6,43,16,14,14,36,6,0,6,3,3,4,4,3,4,4,4,3
A16H2A65RPIJE1,15,30,22,37,34,52,8,0,13,3,12,6,11,10,19,2,0,4,2,4,4,4,2,2,4,4,4
A2LBOVE1R9TCNL,12,24,19,30,32,47,7,0,22,11,23,15,24,29,44,6,0,18,5,1,1,1,1,5,5,1,5
A2CTA782EBXUCT,18,41,33,48,35,66,10,0,19,5,21,9,14,13,25,4,0,11,2,3,2,4,4,2,2,2,4
A1KZ6I92SWIN75,20,42,33,42,51,61,9,1,22,7,18,16,12,16,31,4,0,11,2,1,2,2,2,2,1,2,2
A247EMWK0LVQGK,38,81,63,92,85,129,21,2,36,23,60,38,62,56,102,14,1,26,3,4,4,3,3,4,3,2,2
A1MICIRPQ6X8B5,24,42,31,46,41,57,11,1,26,17,35,26,37,32,51,9,1,21,4,4,4,3,4,4,3,4,3
A2SF0TUK6XTPCO,26,52,44,56,50,72,12,1,28,10,24,16,18,16,29,5,0,14,3,3,4,5,5,2,2,3,4
AEMKB98WAW7YA,27,49,42,47,48,66,11,1,24,8,25,18,19,18,43,5,1,12,2,5,4,4,4,2,1,3,4
