TurkerID,number of permissions requested for microphone,number of permissions requested for location,number of permissions requested for camera,number of permissions requested for contacts,number of permissions requested for phone,number of permissions requested for storage,number of permissions requested for calendar,number of permissions requested sensor,number of permissions requested sms,number of permissions granted for microphone,number of permissions granted for location,number of permissions granted for camera,number of permissions granted for contacts,number of permissions granted for phone,number of permissions granted for storage,number of permissions granted for calendar,number of permissions granted sensor,number of permissions granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A1FP8W05KYYQ04,29,49,40,56,43,80,13,2,27,12,24,16,22,25,40,6,1,13,2,2,1,3,3,4,1,3,3
AIVSV91CBYI12,34,59,48,67,63,93,17,1,34,14,26,19,31,27,51,9,1,20,2,2,2,4,3,3,2,3,3
A37Q40126A4RNA,37,77,56,70,76,101,12,0,36,11,41,12,35,39,56,7,0,19,1,1,3,3,4,4,3,3,3
A2JLMFZI6MLMFS,9,17,17,23,15,35,3,0,7,3,7,3,11,7,19,2,0,5,3,4,4,3,3,3,3,3,3
A2ASTDMWBCFIP0,25,64,45,57,55,88,12,0,21,6,28,15,17,19,40,3,0,11,3,3,4,3,4,3,2,2,3
AQAXDL1INQC9Q,13,25,19,28,21,38,8,0,13,3,8,5,7,7,17,5,0,7,3,4,4,3,3,3,2,3,4
A2585MULTOM1Z5,34,73,57,76,65,113,17,1,30,13,40,22,37,29,62,7,1,15,4,4,5,3,4,2,3,4,4
A1HOSLU4DG2MDS,26,59,42,58,40,70,14,0,24,7,31,14,18,11,24,4,0,5,2,2,2,4,2,2,3,3,4
A1160COTUR26JZ,26,85,62,76,67,110,12,1,25,9,52,33,38,38,68,7,1,17,5,5,5,5,5,5,5,5,5
A302M81U0HM7RJ,31,58,48,66,59,116,10,2,27,12,34,16,27,27,54,4,0,15,3,4,4,3,5,5,4,3,5
A1KF05U5IO9AFG,21,32,24,39,33,56,7,0,17,7,13,6,18,13,31,3,0,10,2,4,2,4,1,1,1,4,4
AOX8BJNGGNDZH,29,59,36,58,52,87,9,2,27,12,26,18,21,21,52,6,1,17,4,4,4,4,4,4,4,4,4
A276N5FFOSK2FX,28,42,41,55,43,68,14,1,22,10,15,13,16,18,29,6,1,10,3,2,2,2,2,2,2,2,2
A17F6MB9SZYV57,39,50,43,58,52,103,14,1,32,17,22,19,24,28,58,7,1,19,3,5,4,5,4,3,2,4,4
A184EIWAV7P9EH,24,50,33,56,39,82,14,0,18,11,14,11,23,20,42,7,0,10,3,4,5,3,5,5,3,5,5
A2UOBJK4K2SB4U,27,44,32,46,43,69,13,1,25,19,35,24,37,35,57,9,1,22,5,5,5,5,5,5,5,5,5
A6JOC24PSUEEC,20,29,20,34,25,46,6,0,11,6,6,3,10,7,14,2,0,3,4,5,2,4,2,4,2,2,4
A2BRZKFG6WAVER,47,79,68,79,80,111,12,3,34,23,43,37,25,32,61,6,2,19,4,4,4,4,4,4,4,4,4
ALZVG5501Y5IX,49,68,65,71,71,131,13,2,32,31,47,41,51,50,107,8,1,22,4,3,2,4,3,3,2,3,2
