TurkerID,storyPermission,storyApp,storyProblem,Ecode,Qcode
A1PP6DN7HB6Q9P,Location,TopHat,Could not locate me to verify location for attendance in class.,Functionality-feature,Functionality-feature
A27TKWMGFUCDMY,Microphone,voice recorder,couldnt access microphone,Functionality-feature,Functionality-feature
A33YV3NK3GWR8V,Location,Google play,can't use it,Functionality-app,Functionality-app
A2NCNAIYI022X9,Microphone,I can't remember it,you need to enable the microphone to use it,Functionality-app,Functionality-app
AIX6PAGON01EE,Camera,Tumblr,wouldnt let me upload photos,Functionality-feature,Functionality-feature
AKP3UXJ0TDPVO,Location,uber,I couldn't get it to work,Functionality-app,Functionality-app
A12C01LD8TO3Y8,Phone,can't remember exac,wanted to much information,unnessesary permission,"unnessesary permission,mistrust the app"
A37N5X89RE99B0,Camera,i dont remember,it needed access to my camera to work properly all the time. it was likely instagram,Functionality-feature,Functionality-feature
A2UTHR7YGLN9DC,Location,maps uber Lyft,did not work properly and would repeteadly ask for permission.,Functionality-app,Functionality-app
A20WI3VW3CBOWN,Location,I don't remember,it wouldn't work unless I gave permission,Functionality-app,Functionality-app
A1QZ7RWVIXCBH9,Camera,collage maker,unable to take pictures to use in app,Functionality-feature,Functionality-feature
A17SE6TSFTEUHM,Contacts,show box,it didn't work,Functionality-app,Functionality-app
ASUYD8BPYM85M,Camera,Tinder,it wanted me to take a pic of myself,Functionalty-feature,Functionalty-feature
AUJU22WBACIBR,Microphone,Skype,I did not like skype and did not enable microphone,mistrust the app,mistrust the app
A17N3LOP5HGSQ8,Storage,i am unsure.,"it needed access to storage to add and pull fimes, i didnt grant it and therefore couldnt perform functions i needed.",Functionality-feature,Functionality-feature
A16H2A65RPIJE1,Storage,Talkatone,It needed the permissions to work,Functionality-app,Functionality-app
A2SF0TUK6XTPCO,Camera,harborone,I needed to take a picture of a check to deposit.,Functionality-feature,Functionality-feature
AEMKB98WAW7YA,Location,pokemon go,it uses location as a feature,Functionality-feature,Functionality-feature
A277U5B7IPWZSY,Microphone,Alexa,It would not work properly and my Amazon Music app was not working.,Functionality-app,Functionality-app
A1QAXGXLG5SYUR,Location,Facebooo,Wouldn't allow me to use a certain feature from external link because I denied location,Functionality-feature,Functionality-feature
AB8FEGGUOZXXA,I don't remember,don't know,app crashed,Functionality-app,Functionality-app
A1QP59PUWJJMJY,Camera,fox eyes,they wanted the camera on every time I opened the app.,Functionality-feature,"Functionality-feature,mistrust the app"
A7MW43YUFAPE9,Contacts,I don't remember,I couldn't use it,Functionality-app,Functionality-app
A1USN4KHILLJFN,Microphone,mixlr,i had to enable the microphone because you have to record,Functionality-feature,Functionality-feature
A2ALBHYA6M67ZT,Location,Google map,unable to locate,Functionality-feature,Functionality-feature
AB0ERVDNMMLYS,Camera,360cam,it did not open,Functionality-app,Functionality-app
A1A7KLOCEERE60,Location,shopkick,I wanted points for going in a store and location was disabled,Functionality-feature,Functionality-feature
A2SHW0VA0MJ8N0,Microphone,facebook,it would not let me enter the app unless I allowed permission,Functionality-app,Functionality-app
A1DENY90PJEZB7,Camera,"I do not remember, i",I only wanted to use the app to edit existing photos not ones through my camera,unnessesary permission,"Functionality-feature, unnessesary permission"
A2U8EBN3IPMJ19,Camera,instagram,it doesn't work without the permission,Functionality-app,Functionality-app
A1LQLIHRB3SCXN,Storage,Magisk Manager,Could not install update from the app itself.,Functionality-app,Functionality-feature
AJQCFLT9M4RKF,Location,Google maps,it could not give me directions without asking for my location,Functionality-feature,Functionality-feature
A33UQADFRXM0N,Contacts,"I don't recall, a g",it said it couldn't work with permissions so I deleted it.,Functionality-app,Functionality-app
A1CB2A9NEL2D7E,Location,Pocket Points,Didn't work,Functionality-app,Functionality-app
A1HM2VBI4T638R,Camera,I believe that it wa,I couldn't call my father unless I would allow the app to use my camera and gallery,Functionality-feature,Functionality-feature
A8562J49TRH3C,Microphone,don't remember but,I don't like giving mic access to apps,mistrust the app,mistrust the app
AC6P8A8PDBJPD,Location,Maps,Would not allow me to launch.,Functionality-app,Functionality-app
A2Y05OCB1H60K3,Contacts,"Trivia crack, and so",just wouldnt work unless I granted all permissions,Functionality-app,Functionality-app
A37Q40126A4RNA,Contacts,flashlight,woudnt open,Functionality-app,Functionality-app
A2ASTDMWBCFIP0,Storage,I don't remember tr,"All I remember is when I denied it, the app just closed out to where I couldn't use it.",Functionality-app,Functionality-app
A1HOSLU4DG2MDS,Contacts,Instagram,did not want my contacts to be added to my account,unnessesary permission,mistrust the app
A1160COTUR26JZ,Contacts,I don't remember,It would close out the app,Functionality-app,Functionality-app
A302M81U0HM7RJ,Storage,Don't remember exac,It wouldn't save without that access allowed,Functionality-feature,Functionality-feature
A1KF05U5IO9AFG,Camera,Snapchat,I couldn't take pictures without allowing the permission.,Functionality-feature,Functionality-feature
AOX8BJNGGNDZH,Location,Google Maps,App crashed due to turning off location permissions,Functionality-app,Functionality-app
A17F6MB9SZYV57,Location,Maps,Did not work,Functionality-app,Functionality-app
A6JOC24PSUEEC,Location,Snapchat,It wanted my location turned on and kept bothering me with reminders.,unnessesary permission,unnessesary permission
AXAY0M3ATGPAR,Camera,Facebook,tried to upload a photo and couldn't unless I granted camera access,Functionality-feature,Functionality-feature
AOL04T29G35P4,Storage,Facebook,couldn't upload pictures,Functionality-feature,Functionality-feature
A2I3FCE7LMITQS,Location,I dont remember,Location permissions allows to identify where i am,Functionality-feature,mistrust the app
A3S2R1NK6HZ9KP,Camera,Perfect 365,It needed to take pictures but couldn't since I denied access,Functionality-feature,Functionality-feature
A2SFD01V5SDFTA,I don't remember,Michaels,They wanted access to a bunch of settings that I did not think were necessary for that app functionality.,unnessesary permission,unnessesary permission
ALH1K6ZAQQMN7,Location,Some pokemon go spin,It was kind of obvious issue. Since it couldn't locate me my in game character wouldn't move,Functionality-feature,Functionality-app
A23LLMPC8OX3DD,I don't remember,I don't remember,I couldn't use it unless I accepted the primmission,Functionality-app,Functionality-app
A2J9AHXZBB37XU,Contacts,I don't remember sp,It wouldn't let me use the app without the permissions.,Functionality-app,Functionality-app
